Occupation,n_total,med_weeklypay_tot,n_men,med_weeklypay_men,n_women,med_weeklypay_women,occupation_cat,occupation_subcat
"Hosts and hostesses, restaurant, lounge, and coffee shop",70,605,12,,57,583,Service occupations,Food preparation and serving related
"Food preparation and serving related workers, all other",4,,3,,1,,Service occupations,Food preparation and serving related
Firstline supervisors of housekeeping and janitorial workers,164,929,94,1014,70,879,Service occupations,Building and grounds cleaning and maintenance
"Firstline supervisors of landscaping, lawn service, and groundskeeping workers",86,1037,77,1134,9,,Service occupations,Building and grounds cleaning and maintenance
Janitors and building cleaners,1655,761,1150,821,505,666,Service occupations,Building and grounds cleaning and maintenance
Maids and housekeeping cleaners,782,690,126,789,656,671,Service occupations,Building and grounds cleaning and maintenance
Pest control workers,81,969,76,963,6,,Service occupations,Building and grounds cleaning and maintenance
Landscaping and groundskeeping workers,697,783,635,785,62,761,Service occupations,Building and grounds cleaning and maintenance
Tree trimmers and pruners,76,813,73,818,3,,Service occupations,Building and grounds cleaning and maintenance
Other grounds maintenance workers,20,,15,,5,,Service occupations,Building and grounds cleaning and maintenance
,1620,762,461,858,1159,734,Service occupations,Personal care and service occupations
Supervisors of personal care and service workers,40,,16,,24,,Service occupations,Personal care and service occupations
Animal trainers,8,,2,,6,,Service occupations,Personal care and service occupations
Animal caretakers,169,733,34,,134,676,Service occupations,Personal care and service occupations
Gambling services workers,71,1001,45,,26,,Service occupations,Personal care and service occupations
"Ushers, lobby attendants, and ticket takers",7,,4,,3,,Service occupations,Personal care and service occupations
Other entertainment attendants and related workers,71,715,43,,28,,Service occupations,Personal care and service occupations
"Embalmers, crematory operators, and funeral attendants",5,,3,,2,,Service occupations,Personal care and service occupations
"Morticians, undertakers, and funeral arrangers",30,,10,,20,,Service occupations,Personal care and service occupations
Barbers,51,901,42,,9,,Service occupations,Personal care and service occupations
"Hairdressers, hairstylists, and cosmetologists",219,752,20,,199,756,Service occupations,Personal care and service occupations
Manicurists and pedicurists,162,750,24,,137,749,Service occupations,Personal care and service occupations
Skincare specialists,35,,0,,35,,Service occupations,Personal care and service occupations
Other personal appearance workers,4,,0,,4,,Service occupations,Personal care and service occupations
"Baggage porters, bellhops, and concierges",61,996,49,,12,,Service occupations,Personal care and service occupations
Tour and travel guides,18,,13,,5,,Service occupations,Personal care and service occupations
Childcare workers,401,685,36,,365,682,Service occupations,Personal care and service occupations
Exercise trainers and group fitness instructors,76,829,41,,35,,Service occupations,Personal care and service occupations
Recreation workers,110,756,40,,70,752,Service occupations,Personal care and service occupations
Residential advisors,16,,11,,5,,Service occupations,Personal care and service occupations
"Personal care and service workers, all other",65,724,28,,37,,Service occupations,Personal care and service occupations
Firstline supervisors of retail sales workers,2144,1080,1230,1197,914,927,Sales and office occupations,Sales and related
Firstline supervisors of nonretail sales workers,764,1417,472,1497,292,1265,Sales and office occupations,Sales and related
Cashiers,1005,639,336,694,670,617,Sales and office occupations,Sales and related
Counter and rental clerks,57,749,28,,29,,Sales and office occupations,Sales and related
Parts salespersons,112,773,94,752,18,,Sales and office occupations,Sales and related
Retail salespersons,1550,913,978,1050,573,741,Sales and office occupations,Sales and related
Advertising sales agents,115,1605,66,1428,48,,Sales and office occupations,Sales and related
Insurance sales agents,459,1254,205,1435,253,1087,Sales and office occupations,Sales and related
"Securities, commodities, and financial services sales agents",156,2084,122,2382,34,,Sales and office occupations,Sales and related
Travel agents,53,1106,5,,48,,Sales and office occupations,Sales and related
"Sales representatives of services, except advertising, insurance, financial services, and travel",649,1571,463,1641,186,1263,Sales and office occupations,Sales and related
"Sales representatives, wholesale and manufacturing",999,1453,710,1532,289,1272,Sales and office occupations,Sales and related
"Models, demonstrators, and product promoters",9,,0,,9,,Sales and office occupations,Sales and related
Real estate brokers and sales agents,456,1253,204,1460,253,1180,Sales and office occupations,Sales and related
Sales engineers,61,2797,50,2810,11,,Sales and office occupations,Sales and related
Telemarketers,18,,12,,7,,Sales and office occupations,Sales and related
"Doortodoor sales workers, news and street vendors, and related workers",98,908,62,1117,36,,Sales and office occupations,Sales and related
"Sales and related workers, all other",317,1179,178,1248,139,1085,Sales and office occupations,Sales and related
Firstline supervisors of office and administrative support workers,1181,1184,395,1368,785,1114,Sales and office occupations,Office and administrative support
"Switchboard operators, including answering service",4,,1,,3,,Sales and office occupations,Office and administrative support
Telephone operators,21,,7,,13,,Sales and office occupations,Office and administrative support
"Communications equipment operators, all other",2,,2,,0,,Sales and office occupations,Office and administrative support
Bill and account collectors,111,990,35,,76,981,Sales and office occupations,Office and administrative support
Billing and posting clerks,336,948,44,,292,926,Sales and office occupations,Office and administrative support
